,NormMSE,1-PCC,split,Method
COPB1+ctrl,0.68456733,0.27670366978926453,2,Scouter
DENR+ctrl,0.8602042,0.6107287484699375,2,Scouter
RPS19BP1+ctrl,0.33765873,0.06502387835327961,2,Scouter
RACGAP1+ctrl,0.52959853,0.9934950338504984,2,Scouter
HNRNPM+ctrl,0.6919035,0.7228788969937835,2,Scouter
RPS16+ctrl,0.032590013,0.03300843203568504,2,Scouter
BAP1+ctrl,1.2824103,1.0711004653242113,2,Scouter
ILF3+ctrl,1.0915816,0.9317065873272564,2,Scouter
PSMC1+ctrl,0.06942017,0.008982621731429163,2,Scouter
TADA3+ctrl,0.33874518,0.2852326704665372,2,Scouter
ARL2+ctrl,1.1390823,1.0569272663696276,2,Scouter
MTBP+ctrl,0.6120153,0.6216838592842526,2,Scouter
PSMD13+ctrl,0.048044566,0.02919932066726738,2,Scouter
ROMO1+ctrl,0.8511199,0.6129167030054762,2,Scouter
CCT5+ctrl,0.057124075,0.03517804364460042,2,Scouter
EXOSC10+ctrl,0.15894148,0.11617923202085123,2,Scouter
UPF2+ctrl,0.1694757,0.3229974028182946,2,Scouter
CPSF4+ctrl,0.7586405,0.3174857485336968,2,Scouter
PKM+ctrl,1.8561021,1.5804201590714435,2,Scouter
OGFOD1+ctrl,0.98441696,1.4017637746548985,2,Scouter
POLR2H+ctrl,0.76016814,0.11231092240783858,2,Scouter
RPL27+ctrl,0.07240115,0.010646894532399975,2,Scouter
TXNL4A+ctrl,0.8983621,0.6336992365708327,2,Scouter
GTF2F2+ctrl,0.8033752,0.6008411472273192,2,Scouter
ATF4+ctrl,1.1184298,1.2576472705527109,2,Scouter
LAS1L+ctrl,0.49788696,0.28311802827553256,2,Scouter
DDX52+ctrl,0.67274606,0.28346129178828705,2,Scouter
GTPBP4+ctrl,0.1970122,0.09039206105846365,2,Scouter
DTYMK+ctrl,0.8626875,0.49911946291733555,2,Scouter
UBA2+ctrl,0.8668609,0.45332467993206027,2,Scouter
BNIP1+ctrl,0.71656215,0.39508963745457093,2,Scouter
UBA52+ctrl,0.31465653,0.14256451200798337,2,Scouter
PCNA+ctrl,1.0034109,0.41548929387662137,2,Scouter
PSMA7+ctrl,0.7089454,0.1027827183071669,2,Scouter
NUDCD3+ctrl,0.8277089,0.7492814024210221,2,Scouter
SEM1+ctrl,0.73362595,0.2983275355802433,2,Scouter
GRSF1+ctrl,1.0504274,0.5165448762051865,2,Scouter
CNIH4+ctrl,1.8992162,1.4712586907519702,2,Scouter
HAUS5+ctrl,0.20016809,0.1942178452097405,2,Scouter
DIMT1+ctrl,1.3747234,1.2235552798121117,2,Scouter
RPP30+ctrl,0.15374753,0.11554494986176711,2,Scouter
GTF2A2+ctrl,0.4068312,0.2520814269057735,2,Scouter
ATP1A1+ctrl,0.9219093,0.745659503016322,2,Scouter
SRP68+ctrl,0.43104815,0.1131972704692481,2,Scouter
NDUFA8+ctrl,0.7145723,0.58892710128102,2,Scouter
SLC7A6OS+ctrl,1.0062482,0.8261284423050235,2,Scouter
EPRS+ctrl,0.18735963,0.042413435560373025,2,Scouter
SAP130+ctrl,0.6240539,0.3375864909789891,2,Scouter
NUP88+ctrl,0.27322504,0.11510937665977072,2,Scouter
PSMA1+ctrl,0.05366821,0.022008491898871774,2,Scouter
POLD2+ctrl,0.12753679,0.05197408046309915,2,Scouter
CLSPN+ctrl,0.25842693,0.10641335023273657,2,Scouter
INO80+ctrl,0.52338636,0.2272007788767869,2,Scouter
